x,y,strength,radius,title
-0.18029558658599854,0.14257407188415527,46,2,AI For Everyone
-0.6815478205680847,-0.10263903439044952,238,2,SQL for Data Science
-0.05076862499117851,0.5889666080474854,346,2,Project Launch
-0.13901588320732117,0.5713247060775757,320,2,Digital Transformation
-0.010600496083498001,0.21755032241344452,211,2,Technical Support Fundamentals
0.3822250962257385,0.8655609488487244,173,2,Financial Markets
0.5021121501922607,-0.320065975189209,194,2,What is Data Science? 
-0.07937359064817429,0.4617502987384796,337,2,Digital Product Management: Modern Fundamentals
-0.744206428527832,-0.2902548611164093,226,2,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
0.46536415815353394,0.9801485538482666,157,2,Financial Accounting Fundamentals
-0.40296345949172974,-0.4942452609539032,176,2,Mathematics for Machine Learning: Linear Algebra
-0.729005753993988,-0.11716771125793457,245,2,Computational Thinking for Problem Solving
0.1276237517595291,0.4474848508834839,225,2,Design Thinking for Innovation
0.4625976085662842,-0.32466450333595276,219,2,Introduction to Psychology 
-0.311942994594574,0.642412006855011,86,2,Project Practicum with Multiple Projects
0.25198593735694885,0.2113131731748581,198,2,AWS Fundamentals: Going Cloud-Native
-0.04562285915017128,0.6077277064323425,329,2,Project Execution
-0.044144559651613235,0.3374026417732239,209,2,Excel Skills for Business: Essentials
0.28906235098838806,0.8405237793922424,181,2,Project Planning
0.39713162183761597,-0.4124149680137634,199,2,Writing in the Sciences
-0.5938886404037476,-0.05171971395611763,242,2,Open Source tools for Data Science
-0.7045298218727112,-0.05164399743080139,239,2,Python for Data Science and AI
0.1494385153055191,-0.5526842474937439,197,2,Stanford Introduction to Food and Health
-0.4235820174217224,0.48222407698631287,81,2,Structuring Machine Learning Projects
-0.495061993598938,0.3238056004047394,196,2,The Bits and Bytes of Computer Networking
0.14571937918663025,-0.5648244619369507,199,2,Science of Exercise
0.3262014389038086,-0.6379411816596985,185,2,Game Theory
-0.5098984241485596,0.07423821836709976,175,2,Data Science Methodology
0.2724546790122986,0.22254599630832672,199,2,Learning to Teach Online
0.4783298969268799,0.9390130043029785,158,2,Finance for Non-Finance Professionals
-0.596021831035614,-0.04823783412575722,244,2,Databases and SQL for Data Science
-0.14611460268497467,-0.4860121011734009,189,2,Visual Elements of User Interface Design
0.07250425219535828,-0.4622141122817993,173,2,Introduction to the Biology of Cancer
-0.714726984500885,-0.0830899029970169,237,2,Introduction to Programming with MATLAB
-0.06687343865633011,0.6294827461242676,319,2,Fundamentals of Project Planning and Management
0.12883464992046356,-0.6746612787246704,173,2,Fundamentals of Graphic Design
0.1390160322189331,-0.6651831865310669,168,2,"Programming Foundations with JavaScript, HTML and CSS"
-0.712332010269165,-0.07959377020597458,237,2,Python Basics
-0.06963644176721573,0.6077131628990173,324,2,Marketing Analytics
0.03151598572731018,0.5215378999710083,272,2,Agile with Atlassian Jira
-0.70827716588974,-0.10077308863401413,245,2,Data Analysis with Python
-0.6836427450180054,-0.4081551134586334,243,2,Introduction to Probability and Data
0.5233042240142822,-0.3132033348083496,204,2,Social Psychology
-0.10603079944849014,0.5200870633125305,320,2,Marketing in a Digital World
0.13155756890773773,0.20252740383148193,203,2,Access Controls 
-0.6532642841339111,-0.3318769335746765,227,2,Python and Statistics for Financial Analysis
0.20185409486293793,-0.5321502685546875,197,2,Child Nutrition and Cooking
0.5204934477806091,-0.30253171920776367,198,2,Positive Psychology: Martin E. P. Seligmanâs Visionary Science
-0.11346327513456345,-0.6034838557243347,125,2,Engineering Health: Introduction to Yoga and Physiology
0.5370598435401917,-0.22824762761592865,122,2,Introduction to Artificial Intelligence (AI)
-0.07857023179531097,0.3158557116985321,205,2,Fundamentals of Visualization with Tableau
-0.47067710757255554,0.052528273314237595,157,2,"Excel/VBA for Creative Problem Solving, Part 1"
0.22853179275989532,0.3202444314956665,179,2,IBM Customer Engagement Specialist Professional Certificate
0.7934012413024902,-0.08891001343727112,207,2,Modern Art & Ideas
0.2970333397388458,0.32570984959602356,160,2,Business Transformation with Google Cloud
0.7642536163330078,-0.10199498385190964,237,2,Understanding the Brain: The Neurobiology of Everyday Life
0.028603332117199898,0.40977001190185547,314,2,Organizational Analysis 
0.5750499367713928,0.18009589612483978,196,2,International Organizations Management 
0.26506927609443665,0.08425240963697433,172,2,"Social Norms, Social Change I"
-0.7560332417488098,-0.2458195984363556,251,2,Understanding and Visualizing Data with Python
-0.6146380305290222,0.3565942645072937,178,2,Introduction to Cybersecurity Tools & Cyber Attacks
-0.3741925358772278,0.3004194498062134,69,2,Construction Project Management
0.4101633131504059,-0.2939895987510681,203,2,"The Sustainable Development Goals â A global, transdisciplinary vision for the future"
0.3936651945114136,-0.33597302436828613,183,2,First Step Korean
-0.649821937084198,-0.46907660365104675,248,2,Mathematics for Machine Learning: Multivariate Calculus
-0.7141657471656799,-0.07811784744262695,237,2,Getting Started with SAS Programming
-0.6981363296508789,-0.09471067786216736,237,2,Learn to Program: The Fundamentals
0.18736298382282257,0.1618812084197998,200,2,AWS Fundamentals: Building Serverless Applications
0.09985361993312836,0.3911161422729492,215,2,Data-driven Decision Making
0.06401839107275009,-0.38530388474464417,184,2,Drug Development
-0.08153069019317627,0.5714408159255981,330,2,"Brand Management: Aligning Business, Brand and Behaviour"
-0.6250872015953064,-0.14661449193954468,244,2,Fundamentals of GIS
0.1533859819173813,0.41352716088294983,262,2,Microeconomics Principles
-0.47777241468429565,0.3922231197357178,182,2,Introduction to Blockchain Technologies
-0.07400824129581451,0.43707573413848877,331,2,Drug Commercialization 
